sr_Latn_ME,"سٔربِیَن (لیٹِن, موٹونیٛگِریو)"
sr_Latn,"سٔربِیَن (لیٹِن)"
sr_ME,"سٔربِیَن (موٹونیٛگِریو)"
gd,"سکوٹِش گیےلِک"
gd_GB,"سکوٹِش گیےلِک (یُنایٹِڑ کِنٛگڈَم)"
sk,سلووَک
sk_SK,"سلووَک (سَلوواکِیا)"
sl,سلووینیَن
sl_SI,"سلووینیَن (سَلووینِیا)"
sg,سَنگو
sg_CF,"سَنگو (مرکٔزی اَفریٖکی جموٗریَت)"
si,سِنہالا
si_LK,"سِنہالا (سِریٖلَنٛکا)"
sw,سواہِلی
sw_TZ,"سواہِلی (تَنجانِیا)"
sw_KE,"سواہِلی (کِنٛیا)"
sw_UG,"سواہِلی (یوٗگانٛڑا)"
so,سومٲلی
so_ET,"سومٲلی (اِتھوپِیا)"
so_DJ,"سومٲلی (جِبوٗتی)"
so_SO,"سومٲلی (سومالِیا)"
so_KE,"سومٲلی (کِنٛیا)"
sv,سویٖڈِش
sv_AX,"سویٖڈِش (ایلینٛڑ جٔزیٖرٕ)"
sv_SE,"سویٖڈِش (سُوِڈَن)"
sv_FI,"سویٖڈِش (فِنلینٛڑ)"
sh,"سیٚربو کروشِیَن"
sh_BA,"سیٚربو کروشِیَن (بوسنِیا تہٕ ہَرزِگووِنا)"
se,"شُمٲلی سَمی"
se_SE,"شُمٲلی سَمی (سُوِڈَن)"
se_FI,"شُمٲلی سَمی (فِنلینٛڑ)"
se_NO,"شُمٲلی سَمی (ناروے)"
nd,"شُمال ڈَبیل"
nd_ZW,"شُمال ڈَبیل (زِمبابے)"
sn,شونا
sn_ZW,"شونا (زِمبابے)"
he,عبرٲنۍ
he_IL,"عبرٲنۍ (اِسرایٖل)"
ar,عربی
ar_DZ,"عربی (اٮ۪لجیرِیا)"
ar_ER,"عربی (اِرٕٹِیا)"
ar_IL,"عربی (اِسرایٖل)"
ar_OM,"عربی (اومان)"
ar_IQ,"عربی (ایٖراق)"
ar_BH,"عربی (بحریٖن)"
ar_TN,"عربی (ٹونیشِیا)"
ar_DJ,"عربی (جِبوٗتی)"
ar_TD,"عربی (چاڑ)"
ar_SA,"عربی (سوٗدی عربِیہ)"
ar_SD,"عربی (سوٗڈان)"
ar_SO,"عربی (سومالِیا)"
ar_SY,"عربی (شام)"
ar_PS,"عربی (فَلَستیٖن)"
ar_QA,"عربی (قَطِر)"
ar_KM,"عربی (کَمورَس)"
ar_KW,"عربی (کُویت)"
ar_LB,"عربی (لٮ۪بنان)"
ar_LY,"عربی (لِبیا)"
ar_MR,"عربی (مارٕٹانِیا)"
ar_AE,"عربی (مُتحدہ عرَب امارات)"
